0.002188,0.000000,0.000000,0.620521,0.010313,0.007083,0.043021,0.310729,0.000729,0.000000,0.000000,0.000000,0.000417,0.000000,0.000000,0.000000,0.000729,0.000000,0.000000,0.000000,0.002917,0.000000,0.000000,0.000000,0.000937,0.000000,0.000000,0.000000,0.000417,0.000000,0.000000,0.000000
0.002917,0.315417,0.188854,0.004440,0.000001,0.000001,0.000004,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000208,0.001563,0.003750,0.002708,0.007917,0.326562,0.133958,0.011771
0.000313,0.009825,0.008978,0.663125,0.002083,0.003542,0.006250,0.009688,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000417,0.000000,0.000000,0.000834,0.001701,0.004701,0.288647
0.111667,0.123855,0.078230,0.085486,0.015104,0.026563,0.015938,0.004064,0.003958,0.012708,0.001354,0.000000,0.029271,0.036979,0.002083,0.000000,0.022292,0.114583,0.007292,0.000208,0.084271,0.037917,0.000417,0.000000,0.053229,0.003854,0.000104,0.000000,0.117604,0.010209,0.000834,0.000030
0.329803,0.522930,0.034487,0.011571,0.005835,0.000315,0.000314,0.003542,0.000834,0.000418,0.000000,0.000000,0.006253,0.002921,0.000521,0.000000,0.007919,0.002616,0.001147,0.000208,0.001675,0.000733,0.000521,0.000521,0.000318,0.000313,0.000208,0.000312,0.015950,0.040522,0.006979,0.000417
0.153368,0.242450,0.246149,0.102189,0.007709,0.007083,0.005104,0.017084,0.000417,0.001042,0.000000,0.000000,0.011355,0.002813,0.000000,0.000000,0.073647,0.059792,0.000000,0.000000,0.032709,0.000000,0.000000,0.000000,0.006146,0.001458,0.000000,0.000000,0.015835,0.011983,0.001772,0.000000
0.002099,0.006171,0.090442,0.395948,0.000417,0.000938,0.001146,0.000523,0.000208,0.004792,0.000833,0.000000,0.002189,0.004063,0.001146,0.000729,0.000320,0.000944,0.001563,0.000521,0.000733,0.001458,0.000000,0.000000,0.001459,0.002188,0.000312,0.000000,0.003022,0.009376,0.098438,0.368125
0.099375,0.193334,0.197301,0.031187,0.000104,0.000000,0.002083,0.016667,0.000104,0.000000,0.000000,0.000000,0.000104,0.000000,0.000000,0.000000,0.001458,0.000000,0.000000,0.000000,0.094896,0.004688,0.000000,0.000000,0.085313,0.007500,0.000000,0.000000,0.185104,0.067293,0.013239,0.000351
0.002094,0.008249,0.292416,0.194587,0.000833,0.003958,0.025521,0.027710,0.000313,0.000625,0.000312,0.000000,0.000208,0.000417,0.000312,0.000000,0.000104,0.000208,0.000000,0.000000,0.000322,0.001042,0.000000,0.000000,0.000113,0.005313,0.003542,0.002292,0.000540,0.121153,0.268022,0.039896
0.136459,0.235105,0.000030,0.000020,0.003125,0.010625,0.000003,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008646,0.247292,0.184479,0.060208,0.026250,0.024688,0.004896,0.000208,0.014688,0.000001,0.000000,0.000000,0.040417,0.002929,0.000028,0.000004
